section,reach,pass,length_mm,weight_g,sampledate
CC,U,1,45,NA,1993-09-02
CC,U,1,115,NA,1993-09-02
CC,U,1,99,NA,1993-09-02
CC,U,1,102,NA,1993-09-02
CC,U,1,125,NA,1993-09-02
CC,U,1,84,NA,1993-09-02
CC,U,1,128,NA,1993-09-02
CC,U,1,123,NA,1993-09-02
CC,U,1,135,NA,1993-09-02
CC,U,1,137,NA,1993-09-02
CC,U,1,53,NA,1993-09-02
CC,U,1,43,NA,1993-09-02
CC,U,1,54,NA,1993-09-02
CC,U,1,47,NA,1993-09-02
CC,U,1,143,NA,1993-09-02
CC,U,1,99,NA,1993-09-02
CC,U,1,129,NA,1993-09-02
CC,U,1,159,NA,1993-09-02
CC,U,1,40,NA,1993-09-02
CC,U,1,51,NA,1993-09-02
CC,U,1,51,NA,1993-09-02
CC,U,1,52,NA,1993-09-02
CC,U,1,58,NA,1993-09-02
CC,U,1,47,NA,1993-09-02
CC,U,1,149,NA,1993-09-02
CC,U,1,156,NA,1993-09-02
CC,U,1,129,NA,1993-09-02
CC,U,2,44,NA,1993-09-02
CC,U,2,52,NA,1993-09-02
CC,U,2,129,NA,1993-09-02
CC,U,2,117,NA,1993-09-02
CC,U,2,113,NA,1993-09-02
CC,U,2,136,NA,1993-09-02
CC,U,2,102,NA,1993-09-02
CC,U,2,102,NA,1993-09-02
CC,U,2,153,NA,1993-09-02
CC,U,2,125,NA,1993-09-02
CC,U,2,96,NA,1993-09-02
CC,U,2,47,NA,1993-09-02
CC,U,2,143,NA,1993-09-02
CC,U,2,48,NA,1993-09-02
CC,U,2,52,NA,1993-09-02
CC,U,2,95,NA,1993-09-02
CC,U,2,44,NA,1993-09-02
CC,U,2,39,NA,1993-09-02
CC,U,2,150,NA,1993-09-02
CC,U,2,142,NA,1993-09-02
CC,U,2,107,NA,1993-09-02
CC,U,2,48,NA,1993-09-02
CC,U,2,34,NA,1993-09-02
CC,U,2,99,NA,1993-09-02
CC,U,1,106,NA,1994-08-31
CC,U,1,134,NA,1994-08-31
CC,U,1,129,NA,1994-08-31
CC,U,1,139,NA,1994-08-31
CC,U,1,102,NA,1994-08-31
CC,U,1,85,NA,1994-08-31
CC,U,1,102,NA,1994-08-31
CC,U,1,83,NA,1994-08-31
CC,U,1,132,NA,1994-08-31
CC,U,1,131,NA,1994-08-31
CC,U,1,95,NA,1994-08-31
CC,U,1,107,NA,1994-08-31
CC,U,1,41,NA,1994-08-31
CC,U,1,133,NA,1994-08-31
CC,U,1,98,NA,1994-08-31
CC,U,1,89,NA,1994-08-31
CC,U,1,139,NA,1994-08-31
CC,U,1,150,NA,1994-08-31
CC,U,1,45,NA,1994-08-31
CC,U,1,64,NA,1994-08-31
CC,U,1,46,NA,1994-08-31
CC,U,1,44,NA,1994-08-31
CC,U,1,140,NA,1994-08-31
CC,U,1,87,NA,1994-08-31
CC,U,1,90,NA,1994-08-31
CC,U,1,44,NA,1994-08-31
CC,U,1,189,NA,1994-08-31
CC,U,1,161,NA,1994-08-31
CC,U,1,46,NA,1994-08-31
CC,U,1,102,NA,1994-08-31
CC,U,1,99,NA,1994-08-31
CC,U,1,51,NA,1994-08-31
CC,U,1,128,NA,1994-08-31
CC,U,1,105,NA,1994-08-31
CC,U,1,42,NA,1994-08-31
CC,U,1,90,NA,1994-08-31
CC,U,1,98,NA,1994-08-31
CC,U,1,144,NA,1994-08-31
CC,U,1,103,NA,1994-08-31
CC,U,1,48,NA,1994-08-31
CC,U,1,104,NA,1994-08-31
CC,U,1,130,NA,1994-08-31
CC,U,1,44,NA,1994-08-31
CC,U,1,50,NA,1994-08-31
CC,U,1,36,NA,1994-08-31
CC,U,1,122,NA,1994-08-31
CC,U,1,51,NA,1994-08-31
CC,U,1,167,NA,1994-08-31
CC,U,1,102,NA,1994-08-31
CC,U,1,125,NA,1994-08-31
CC,U,1,120,NA,1994-08-31
CC,U,1,45,NA,1994-08-31
CC,U,1,45,NA,1994-08-31
CC,U,1,125,NA,1994-08-31
CC,U,1,98,NA,1994-08-31
CC,U,1,105,NA,1994-08-31
CC,U,1,99,NA,1994-08-31
CC,U,1,157,NA,1994-08-31
CC,U,1,46,NA,1994-08-31
CC,U,1,139,NA,1994-08-31
CC,U,1,138,NA,1994-08-31
CC,U,1,92,NA,1994-08-31
CC,U,1,153,NA,1994-08-31
CC,U,1,172,NA,1994-08-31
CC,U,1,88,NA,1994-08-31
CC,U,1,164,NA,1994-08-31
CC,U,1,124,NA,1994-08-31
CC,U,1,48,NA,1994-08-31
CC,U,1,112,NA,1994-08-31
CC,U,1,44,NA,1994-08-31
CC,U,1,129,NA,1994-08-31
CC,U,1,154,NA,1994-08-31
CC,U,1,95,NA,1994-08-31
CC,U,1,114,NA,1994-08-31
CC,U,2,52,NA,1994-08-31
CC,U,2,115,NA,1994-08-31
CC,U,2,113,NA,1994-08-31
CC,U,2,140,NA,1994-08-31
CC,U,2,134,NA,1994-08-31
CC,U,2,90,NA,1994-08-31
CC,U,2,47,NA,1994-08-31
CC,U,2,125,NA,1994-08-31
CC,U,2,131,NA,1994-08-31
CC,U,2,44,NA,1994-08-31
CC,U,2,51,NA,1994-08-31
CC,U,2,96,NA,1994-08-31
CC,U,2,47,NA,1994-08-31
CC,U,2,55,NA,1994-08-31
CC,U,2,147,NA,1994-08-31
CC,U,2,159,NA,1994-08-31
CC,U,2,92,NA,1994-08-31
CC,U,2,46,NA,1994-08-31
CC,U,2,37,NA,1994-08-31
CC,U,2,91,NA,1994-08-31
CC,U,2,40,NA,1994-08-31
CC,U,2,90,NA,1994-08-31
CC,U,2,135,NA,1994-08-31
CC,U,2,89,NA,1994-08-31
CC,U,2,92,NA,1994-08-31
CC,U,2,95,NA,1994-08-31
CC,U,2,100,NA,1994-08-31
CC,L,1,98,10.76,1997-08-26
CC,L,1,29,0.41,1997-08-26
CC,L,1,48,1.36,1997-08-26
CC,L,1,48,1.23,1997-08-26
CC,L,1,50,1.47,1997-08-26
CC,L,1,42,0.8,1997-08-26
CC,L,1,42,0.85,1997-08-26
CC,L,1,45,1.13,1997-08-26
CC,L,1,34,0.46,1997-08-26
CC,L,1,44,0.92,1997-08-26
CC,L,1,43,0.79,1997-08-26
CC,L,1,42,0.86,1997-08-26
CC,L,1,80,6.53,1997-08-26
CC,L,1,34,0.54,1997-08-26
CC,L,1,94,8.91,1997-08-26
CC,L,1,94,8.72,1997-08-26
CC,L,1,54,1.67,1997-08-26
CC,L,1,88,6.87,1997-08-26
CC,L,1,93,8.79,1997-08-26
CC,L,1,80,6.64,1997-08-26
CC,L,1,104,11.33,1997-08-26
CC,L,1,95,9.48,1997-08-26
CC,L,1,44,1,1997-08-26
CC,L,1,79,6.66,1997-08-26
CC,L,1,85,8.29,1997-08-26
CC,L,1,109,14.24,1997-08-26
CC,L,1,106,12.12,1997-08-26
CC,L,1,96,9.52,1997-08-26
CC,L,1,76,5.94,1997-08-26
CC,L,1,98,10.62,1997-08-26
CC,L,1,94,8.85,1997-08-26
CC,L,1,52,1.31,1997-08-26
CC,L,1,42,0.73,1997-08-26
CC,L,1,41,0.89,1997-08-26
CC,L,1,35,0.38,1997-08-26
CC,L,1,41,0.81,1997-08-26
CC,L,1,95,10.82,1997-08-26
CC,L,1,97,9.78,1997-08-26
CC,L,1,103,11.93,1997-08-26
CC,L,1,41,0.79,1997-08-26
CC,L,1,42,1.08,1997-08-26
CC,L,1,39,0.66,1997-08-26
CC,L,1,88,6.77,1997-08-26
CC,L,1,37,0.61,1997-08-26
CC,L,1,40,0.79,1997-08-26
CC,L,1,38,0.56,1997-08-26
CC,L,1,40,0.78,1997-08-26
CC,L,1,42,1,1997-08-26
CC,L,1,82,5.95,1997-08-26
CC,L,1,34,0.45,1997-08-26
CC,L,1,134,26.26,1997-08-26
CC,L,1,70,3.79,1997-08-26
CC,L,1,31,0.34,1997-08-26
CC,L,1,107,14.51,1997-08-26
CC,L,1,97,10.05,1997-08-26
CC,L,1,118,20.61,1997-08-26
CC,L,1,96,9.75,1997-08-26
CC,L,1,101,11.32,1997-08-26
CC,L,1,129,22.22,1997-08-26
CC,L,1,167,45.87,1997-08-26
CC,L,1,137,24.68,1997-08-26
CC,L,1,110,16.43,1997-08-26
CC,L,1,94,9.33,1997-08-26
CC,L,1,116,16.97,1997-08-26
CC,L,1,89,7.13,1997-08-26
CC,L,1,87,7.03,1997-08-26
CC,L,1,73,4.98,1997-08-26
CC,L,1,51,1.35,1997-08-26
CC,L,1,101,10.1,1997-08-26
CC,L,1,121,21.81,1997-08-26
CC,L,1,98,12.02,1997-08-26
CC,L,1,100,10.37,1997-08-26
CC,L,1,92,8.03,1997-08-26
CC,L,1,45,0.87,1997-08-26
CC,L,1,95,9.49,1997-08-26
CC,L,1,108,14.05,1997-08-26
CC,L,1,139,29.3,1997-08-26
CC,L,1,149,33.76,1997-08-26
CC,L,1,39,0.73,1997-08-26
CC,L,1,101,10.95,1997-08-26
CC,L,1,45,0.96,1997-08-26
CC,L,1,37,0.6,1997-08-26
CC,L,1,39,0.56,1997-08-26
CC,L,1,42,0.93,1997-08-26
CC,L,1,75,4.21,1997-08-26
CC,L,1,94,10.37,1997-08-26
CC,L,1,91,NA,1997-08-26
CC,L,1,142,32.58,1997-08-26
CC,L,1,106,16.82,1997-08-26
CC,L,1,93,9.12,1997-08-26
CC,L,1,85,6.7,1997-08-26
CC,L,1,56,1.75,1997-08-26
CC,L,1,32,0.47,1997-08-26
CC,L,1,37,0.66,1997-08-26
CC,L,1,106,11.86,1997-08-26
CC,L,1,145,30.37,1997-08-26
CC,L,1,97,9.57,1997-08-26
CC,L,1,92,8.65,1997-08-26
CC,L,1,44,0.97,1997-08-26
CC,L,1,134,24.9,1997-08-26
CC,L,1,163,43.96,1997-08-26
CC,L,1,95,7.84,1997-08-26
CC,L,1,39,0.62,1997-08-26
CC,L,1,50,1.37,1997-08-26
CC,L,1,34,0.5,1997-08-26
CC,L,1,42,0.84,1997-08-26
CC,L,1,41,0.83,1997-08-26
CC,L,1,41,0.69,1997-08-26
CC,L,1,42,0.83,1997-08-26
CC,L,1,36,0.59,1997-08-26
CC,L,1,46,1.08,1997-08-26
CC,L,1,48,1.4,1997-08-26
CC,L,1,45,1.16,1997-08-26
CC,L,1,38,0.67,1997-08-26
CC,L,1,46,1.07,1997-08-26
CC,L,1,43,1,1997-08-26
CC,L,1,38,0.61,1997-08-26
CC,L,1,122,21.07,1997-08-26
CC,L,1,108,13.89,1997-08-26
CC,L,1,44,0.93,1997-08-26
CC,L,1,45,1.06,1997-08-26
CC,L,1,87,7.76,1997-08-26
CC,L,1,103,11.63,1997-08-26
CC,L,1,47,1.28,1997-08-26
CC,L,1,50,1.72,1997-08-26
CC,L,1,49,1.38,1997-08-26
CC,L,1,49,1.39,1997-08-26
CC,L,1,80,5.23,1997-08-26
CC,L,1,34,0.45,1997-08-26
CC,L,1,54,1.69,1997-08-26
CC,L,1,46,1.16,1997-08-26
CC,L,1,40,0.69,1997-08-26
CC,L,1,48,1.31,1997-08-26
CC,L,1,39,0.88,1997-08-26
CC,L,1,89,7.47,1997-08-26
CC,L,1,39,0.77,1997-08-26
CC,L,1,42,0.8,1997-08-26
CC,L,1,50,1.28,1997-08-26
CC,L,1,94,9.57,1997-08-26
CC,L,1,93,9.41,1997-08-26
CC,L,1,86,8.02,1997-08-26
CC,L,1,95,9.7,1997-08-26
CC,L,1,32,0.38,1997-08-26
CC,L,1,38,0.57,1997-08-26
CC,L,1,40,0.77,1997-08-26
CC,L,1,29,0.31,1997-08-26
CC,L,1,41,0.88,1997-08-26
CC,L,1,44,0.95,1997-08-26
CC,L,1,41,0.84,1997-08-26
CC,L,1,50,1.57,1997-08-26
CC,L,1,42,0.87,1997-08-26
CC,L,1,49,1.38,1997-08-26
CC,L,1,44,0.92,1997-08-26
CC,L,1,42,0.82,1997-08-26
CC,L,1,74,5.33,1997-08-26
CC,L,1,78,5.37,1997-08-26
CC,L,1,91,10.08,1997-08-26
CC,L,1,105,12.63,1997-08-26
CC,L,1,40,0.75,1997-08-26
CC,L,2,50,1.43,1997-08-26
CC,L,2,93,10.25,1997-08-26
CC,L,2,40,0.79,1997-08-26
CC,L,2,47,1.18,1997-08-26
CC,L,2,45,1.11,1997-08-26
CC,L,2,160,46.18,1997-08-26
CC,L,2,90,7.85,1997-08-26
CC,L,2,40,0.78,1997-08-26
CC,L,2,121,20.12,1997-08-26
CC,L,2,102,11.11,1997-08-26
CC,L,2,91,7.43,1997-08-26
CC,L,2,148,31.58,1997-08-26
CC,L,2,86,6.38,1997-08-26
CC,L,2,50,1.35,1997-08-26
CC,L,2,138,27.63,1997-08-26
CC,L,2,86,6.57,1997-08-26
CC,L,2,43,0.95,1997-08-26
CC,L,2,40,0.67,1997-08-26
CC,L,2,82,5.15,1997-08-26
CC,L,2,93,9.18,1997-08-26
CC,L,2,47,0.96,1997-08-26
CC,L,2,129,25.4,1997-08-26
CC,L,2,107,12.24,1997-08-26
CC,L,2,89,7.05,1997-08-26
CC,L,2,90,7.89,1997-08-26
CC,L,2,141,29.22,1997-08-26
CC,L,2,88,6.74,1997-08-26
CC,L,2,49,1.33,1997-08-26
CC,L,2,42,0.8,1997-08-26
CC,L,2,41,0.79,1997-08-26
CC,L,2,90,7.76,1997-08-26
CC,L,2,44,0.97,1997-08-26
CC,L,2,64,3.58,1997-08-26
CC,L,2,38,0.73,1997-08-26
CC,L,2,40,0.72,1997-08-26
CC,L,2,40,0.84,1997-08-26
CC,L,2,38,0.66,1997-08-26
CC,L,2,41,0.75,1997-08-26
CC,L,2,49,1.28,1997-08-26
CC,L,2,94,9.98,1997-08-26
CC,L,2,34,0.48,1997-08-26
CC,L,2,52,1.36,1997-08-26
CC,L,2,37,0.58,1997-08-26
CC,L,2,52,1.62,1997-08-26
CC,U,1,93,NA,1999-09-01
CC,U,1,47,NA,1999-09-01
CC,U,1,106,NA,1999-09-01
CC,U,1,32,NA,1999-09-01
CC,U,1,36,NA,1999-09-01
CC,U,1,50,NA,1999-09-01
CC,U,1,94,NA,1999-09-01
CC,U,1,121,NA,1999-09-01
CC,U,1,35,NA,1999-09-01
CC,U,1,36,NA,1999-09-01
CC,U,1,39,NA,1999-09-01
CC,U,1,48,NA,1999-09-01
CC,U,1,127,NA,1999-09-01
CC,U,1,91,NA,1999-09-01
CC,U,1,104,NA,1999-09-01
CC,U,1,124,NA,1999-09-01
CC,U,1,38,NA,1999-09-01
CC,U,1,95,NA,1999-09-01
CC,U,1,97,NA,1999-09-01
CC,U,1,95,NA,1999-09-01
CC,U,1,50,NA,1999-09-01
CC,U,1,34,NA,1999-09-01
CC,U,1,105,NA,1999-09-01
CC,U,1,48,NA,1999-09-01
CC,U,1,43,NA,1999-09-01
CC,U,1,37,NA,1999-09-01
CC,U,1,44,NA,1999-09-01
CC,U,1,40,NA,1999-09-01
CC,U,1,104,NA,1999-09-01
CC,U,1,143,NA,1999-09-01
CC,U,1,118,NA,1999-09-01
CC,U,1,41,NA,1999-09-01
CC,U,1,93,NA,1999-09-01
CC,U,1,94,NA,1999-09-01
CC,U,1,105,NA,1999-09-01
CC,U,1,144,NA,1999-09-01
CC,U,1,93,NA,1999-09-01
CC,U,1,108,NA,1999-09-01
CC,U,1,37,NA,1999-09-01
CC,U,1,93,NA,1999-09-01
CC,U,1,95,NA,1999-09-01
CC,U,1,86,NA,1999-09-01
CC,U,1,81,NA,1999-09-01
CC,U,1,115,NA,1999-09-01
CC,U,1,93,NA,1999-09-01
CC,U,1,89,NA,1999-09-01
CC,U,1,153,NA,1999-09-01
CC,U,1,48,NA,1999-09-01
CC,U,1,46,NA,1999-09-01
CC,U,1,96,NA,1999-09-01
CC,U,1,85,NA,1999-09-01
CC,U,1,143,NA,1999-09-01
CC,U,1,83,NA,1999-09-01
CC,U,1,91,NA,1999-09-01
CC,U,1,94,NA,1999-09-01
CC,U,1,94,NA,1999-09-01
CC,U,1,113,NA,1999-09-01
CC,U,1,93,NA,1999-09-01
CC,U,1,128,NA,1999-09-01
CC,U,1,96,NA,1999-09-01
CC,U,1,95,NA,1999-09-01
CC,U,1,86,NA,1999-09-01
CC,U,1,78,NA,1999-09-01
CC,U,1,164,NA,1999-09-01
CC,U,1,153,NA,1999-09-01
CC,U,1,99,NA,1999-09-01
CC,U,1,81,NA,1999-09-01
CC,U,1,97,NA,1999-09-01
CC,U,1,41,NA,1999-09-01
CC,U,1,47,NA,1999-09-01
CC,U,1,27,NA,1999-09-01
CC,U,1,40,NA,1999-09-01
CC,U,1,95,NA,1999-09-01
CC,U,1,83,NA,1999-09-01
CC,U,1,97,NA,1999-09-01
CC,U,1,97,NA,1999-09-01
CC,U,1,134,NA,1999-09-01
CC,U,1,135,NA,1999-09-01
CC,U,1,125,NA,1999-09-01
CC,U,1,80,NA,1999-09-01
CC,U,2,168,NA,1999-09-01
CC,U,2,97,NA,1999-09-01
CC,U,2,93,NA,1999-09-01
CC,U,2,103,NA,1999-09-01
CC,U,2,90,NA,1999-09-01
CC,U,2,35,NA,1999-09-01
CC,U,2,29,NA,1999-09-01
CC,U,2,48,NA,1999-09-01
CC,U,2,31,NA,1999-09-01
CC,U,2,92,NA,1999-09-01
CC,U,2,95,NA,1999-09-01
CC,U,2,128,NA,1999-09-01
CC,U,2,38,NA,1999-09-01
CC,U,2,38,NA,1999-09-01
CC,U,2,90,NA,1999-09-01
CC,U,2,41,NA,1999-09-01
CC,U,2,125,NA,1999-09-01
CC,U,2,77,NA,1999-09-01
CC,U,2,49,NA,1999-09-01
CC,U,2,120,NA,1999-09-01
CC,U,2,97,NA,1999-09-01
CC,U,2,43,NA,1999-09-01
CC,U,2,34,NA,1999-09-01
CC,U,2,35,NA,1999-09-01
CC,U,2,110,NA,1999-09-01
CC,L,1,45,1.1,2008-09-17
CC,L,1,74,5,2008-09-17
CC,L,1,87,6.5,2008-09-17
CC,L,1,95,11,2008-09-17
CC,L,1,70,4.4,2008-09-17
CC,L,1,97,8.8,2008-09-17
CC,L,1,89,8.9,2008-09-17
CC,L,1,109,12,2008-09-17
CC,L,1,95,9.2,2008-09-17
CC,L,1,103,10.7,2008-09-17
CC,L,1,87,6.5,2008-09-17
CC,L,1,103,16.3,2008-09-17
CC,L,1,95,8.4,2008-09-17
CC,L,1,145,30.5,2008-09-17
CC,L,1,110,16.1,2008-09-17
CC,L,1,83,5.6,2008-09-17
CC,L,1,105,11.6,2008-09-17
CC,L,1,42,0.9,2008-09-17
CC,L,1,30,0.3,2008-09-17
CC,L,1,38,0.8,2008-09-17
CC,L,1,47,1.3,2008-09-17
CC,L,1,44,1,2008-09-17
CC,L,1,80,6.2,2008-09-17
CC,L,1,34,0.3,2008-09-17
CC,L,1,92,7.6,2008-09-17
CC,L,1,86,5.7,2008-09-17
CC,L,1,127,22.8,2008-09-17
CC,L,1,75,4.4,2008-09-17
CC,L,1,95,10.1,2008-09-17
CC,L,1,102,10.4,2008-09-17
CC,L,1,34,0.6,2008-09-17
CC,L,1,44,1.3,2008-09-17
CC,L,1,40,0.7,2008-09-17
CC,L,1,92,7.8,2008-09-17
CC,L,1,43,0.8,2008-09-17
CC,L,1,44,1.3,2008-09-17
CC,L,1,37,0.7,2008-09-17
CC,L,1,45,1.3,2008-09-17
CC,L,1,80,5.4,2008-09-17
CC,L,1,85,6.3,2008-09-17
CC,L,1,107,13.2,2008-09-17
CC,L,1,78,5.5,2008-09-17
CC,L,1,102,10,2008-09-17
CC,L,1,104,10.2,2008-09-17
CC,L,1,90,7.4,2008-09-17
CC,L,1,80,5.2,2008-09-17
CC,L,1,94,8.1,2008-09-17
CC,L,1,118,17.3,2008-09-17
CC,L,1,97,8.8,2008-09-17
CC,L,1,104,10.5,2008-09-17
CC,L,1,85,6.6,2008-09-17
CC,L,1,140,28.1,2008-09-17
CC,L,1,72,3.7,2008-09-17
CC,L,1,86,7.1,2008-09-17
CC,L,1,91,7.4,2008-09-17
CC,L,1,95,8.9,2008-09-17
CC,L,1,95,8.4,2008-09-17
CC,L,1,95,8.1,2008-09-17
CC,L,1,77,5.9,2008-09-17
CC,L,1,95,10,2008-09-17
CC,L,1,92,7.6,2008-09-17
CC,L,1,90,7.6,2008-09-17
CC,L,1,114,15.2,2008-09-17
CC,L,1,81,5.9,2008-09-17
CC,L,1,86,6.1,2008-09-17
CC,L,1,95,8.7,2008-09-17
CC,L,1,121,17.4,2008-09-17
CC,L,1,89,7.2,2008-09-17
CC,L,1,119,18.5,2008-09-17
CC,L,1,80,5.3,2008-09-17
CC,L,1,157,33.7,2008-09-17
CC,L,1,133,23,2008-09-17
CC,L,1,253,36.4,2008-09-17
CC,L,1,117,15.6,2008-09-17
CC,L,1,100,9.1,2008-09-17
